step,reward,queue,avg_wait,peds,cars,ambulance,trucks,timestamp
0,0,0,0,6,1,1,3,00:55:01
1,0,0,0,6,1,1,3,00:55:01
2,0,0,0,6,1,1,3,00:55:01
3,0,0,0,6,1,1,3,00:55:01
4,0,0,0,6,1,1,3,00:55:02
5,0,0,0,6,1,1,3,00:55:02
6,0,0,0,6,1,1,3,00:55:02
7,0,0,0,6,1,1,3,00:55:02
8,0,0,0,6,1,1,3,00:55:02
9,0,0,0,6,1,1,3,00:55:02
10,0,0,0,6,1,1,3,00:55:02
11,0,0,0,6,1,1,3,00:55:02
12,0,0,0,6,1,1,3,00:55:02
13,0,0,0,6,1,1,3,00:55:02
14,0,1,0,6,1,1,3,00:55:02
15,0,1,0,6,1,1,3,00:55:02
16,0,1,0,6,1,1,3,00:55:02
17,0,1,0,6,1,1,3,00:55:02
18,0,1,0,6,1,1,3,00:55:02
19,0,3,0,6,1,1,3,00:55:02
20,0,4,0,6,1,1,3,00:55:02
21,0,4,0,6,1,1,3,00:55:02
22,0,4,0,6,1,1,3,00:55:02
23,0,4,0,6,1,1,3,00:55:02
24,0,3,0,6,1,1,3,00:55:02
25,0,1,0,6,1,1,3,00:55:03
26,0,2,0,6,1,1,3,00:55:03
27,0,3,0,6,1,1,3,00:55:03
28,0,3,0,6,1,1,3,00:55:03
29,0,3,0,6,1,1,3,00:55:03
30,0,1,0,6,1,1,3,00:55:03
31,0,2,0,6,1,1,3,00:55:03
32,0,2,0,6,1,1,3,00:55:03
33,0,2,0,6,1,1,3,00:55:03
34,0,2,0,6,1,1,3,00:55:03
35,0,2,0,6,1,1,3,00:55:03
36,0,2,0,6,1,1,3,00:55:03
37,0,2,0,6,1,1,3,00:55:03
38,0,0,0,6,1,1,3,00:55:03
39,0,1,0,6,1,1,3,00:55:03
40,0,1,0,6,1,1,3,00:55:03
41,0,1,0,6,1,1,3,00:55:03
42,0,1,0,6,1,1,3,00:55:03
43,0,3,0,6,1,1,3,00:55:03
44,0,4,0,6,1,1,3,00:55:03
45,0,4,0,6,1,1,3,00:55:03
46,0,4,0,6,1,1,3,00:55:04
47,0,6,0,6,1,1,3,00:55:04
48,0,6,0,6,1,1,3,00:55:04
49,0,7,0,6,1,1,3,00:55:04
50,0,7,0,36,6,3,5,00:55:04
51,0,7,0,36,6,3,5,00:55:04
52,0,8,0,36,6,3,5,00:55:04
53,0,8,0,36,6,3,5,00:55:04
54,0,9,0,36,6,3,5,00:55:04
55,0,9,0,36,6,3,5,00:55:04
56,0,10,0,36,6,3,5,00:55:04
57,0,10,0,36,6,3,5,00:55:04
58,0,10,0,36,6,3,5,00:55:04
59,0,11,0,36,6,3,5,00:55:04
60,0,11,0,36,6,3,5,00:55:04
61,0,11,0,36,6,3,5,00:55:04
62,0,12,0,36,6,3,5,00:55:04
63,0,12,0,36,6,3,5,00:55:04
64,0,13,0,36,6,3,5,00:55:04
65,0,13,0,36,6,3,5,00:55:04
66,0,14,0,36,6,3,5,00:55:04
67,0,14,0,36,6,3,5,00:55:05
68,0,14,0,36,6,3,5,00:55:05
