step,reward,queue,avg_wait,peds,cars,ambulance,trucks,timestamp
0,0,0,0.0,6,1,1,3,01:36:18
1,0,0,0.0,6,1,1,3,01:36:18
2,0,0,0.0,6,1,1,3,01:36:18
3,0,0,0.0,6,1,1,3,01:36:18
4,0,0,0.0,6,1,1,3,01:36:18
5,0,0,0.0,6,1,1,3,01:36:19
6,0,0,0.0,6,2,2,3,01:36:19
7,0,0,0.0,6,2,2,3,01:36:19
8,0,0,0.0,6,2,2,3,01:36:19
9,0,0,0.0,12,2,2,3,01:36:19
10,0,0,0.0,12,2,2,3,01:36:19
11,0,0,0.0,12,2,2,4,01:36:19
12,0,0,0.0,12,4,2,4,01:36:19
13,0,0,0.0,12,4,2,4,01:36:19
14,0,1,0.0,12,4,2,4,01:36:19
15,0,1,0.0,12,4,2,4,01:36:20
16,0,1,0.0,12,4,2,4,01:36:20
17,0,2,0.0,12,4,2,4,01:36:20
18,0,2,0.0,18,4,3,4,01:36:20
19,0,4,0.0,18,4,3,4,01:36:20
20,0,4,0.0,18,4,3,5,01:36:20
21,0,4,0.0,18,4,3,5,01:36:20
22,0,4,0.0,18,4,3,5,01:36:20
23,0,4,0.0,18,4,3,5,01:36:20
24,0,4,0.0,18,5,3,5,01:36:21
25,0,4,0.0,18,5,3,5,01:36:21
26,0,4,0.0,18,5,3,5,01:36:21
27,0,5,0.0,24,5,3,5,01:36:21
28,0,4,0.0,24,5,3,5,01:36:21
29,0,4,0.0,24,6,3,5,01:36:21
30,0,4,0.0,24,6,3,5,01:36:21
31,0,5,0.0,24,6,3,5,01:36:21
32,0,2,0.0,24,6,3,5,01:36:21
33,0,2,0.0,24,6,3,5,01:36:22
34,0,2,0.0,24,6,3,5,01:36:22
35,0,2,0.0,24,6,3,5,01:36:22
36,0,2,0.0,30,6,3,5,01:36:22
37,0,2,0.0,30,6,3,5,01:36:22
38,0,1,0.0,30,6,3,5,01:36:22
39,0,2,0.0,30,6,3,5,01:36:22
40,0,1,0.0,30,7,3,5,01:36:22
41,0,1,0.0,30,7,3,5,01:36:23
42,0,1,0.0,30,7,3,5,01:36:23
43,0,2,0.0,30,7,3,5,01:36:23
44,0,3,0.0,30,7,3,5,01:36:23
45,0,3,0.0,36,7,3,5,01:36:23
46,0,3,0.0,36,7,3,5,01:36:23
